f_hz,ch1_vpp,ch2_vpp,ratio,phi_deg,ch1_vrms,ch2_vrms,ch1_vmax,ch1_vmin,ch2_vmax,ch2_vmin,ch1_freq_hz,valid
100.0,7.84,0.00504,0.0006428571428571429,-86.4,2.744843,0.001710346,3.916,-3.916,0.00296,-0.00208,,1
200.0,7.66,0.00954,0.0012454308093994778,-79.2,2.716466,0.003302076,3.828,-3.828,0.00516,-0.00438,,1
500.0,7.79,0.0237,0.003042362002567394,-79.2,2.729362,0.008226763,3.872,-3.916,0.011968,-0.011696,,1
1000.0,7.88,0.0471,0.0059771573604060916,-75.59999,2.778981,0.0164379,3.916,-3.96,0.023664,-0.023392,,1
2000.0,8.309999,0.0918,0.01104693273729636,-57.59999,2.919817,0.0323755,4.176,-4.128,0.04592,-0.04592,,1
5000.0,10.26,0.21,0.02046783625730994,-39.6,3.61276,0.073495,5.16,-5.1,0.1044,-0.1056,,1
8000.0,12.1,0.289,0.023884297520661155,-23.22581,4.268218,0.1018214,6.052001,-6.052001,0.14268,-0.14596,,1
10000.0,12.99,0.325,0.02501924557351809,-18.0,4.583534,0.1148534,6.46,-6.536,0.16168,-0.16356,,1
20000.0,15.22,0.406,0.026675427069645204,-7.2,5.368435,0.1431919,7.568,-7.656,0.20184,-0.20416,,1
30000.0,15.75,0.432,0.027428571428571427,-4.285714,5.515792,0.149678,7.832,-7.92,0.21472,-0.21716,,1
40000.0,16.09,0.436,0.027097576134244874,0.0,5.670438,0.1548457,8.004,-8.096,0.21672,-0.21924,,1
50000.0,16.28,0.444,0.02727272727272727,0.0,5.721588,0.1563436,8.096,-8.188,0.22176,-0.22176,,1
60000.0,16.28,0.451,0.0277027027027027,0.0,5.676497,0.155684,8.096,-8.188,0.22428,-0.2268,,1
70000.0,16.28,0.45,0.02764127764127764,0.0,5.701037,0.1569621,8.096,-8.188,0.22528,-0.22528,,1
80000.0,16.28,0.453,0.027825552825552824,-5.714286,5.774797,0.1593774,8.096,-8.188,0.22528,-0.22784,,1
