f_hz,ch1_vpp,ch2_vpp,ratio,phi_deg,ch1_vrms,ch2_vrms,ch1_vmax,ch1_vmin,ch2_vmax,ch2_vmin,ch1_freq_hz,valid
100.0,7.79,0.00484,0.0006213093709884467,-61.2,2.729924,0.001611563,3.872,-3.916,0.00292,-0.00192,,1
200.0,7.75,0.00783,0.0010103225806451612,-43.2,2.737214,0.002711853,3.828,-3.916,0.004368,-0.003456,,1
500.0,7.84,0.01177,0.0015012755102040815,-18.0,2.751998,0.004017892,3.916,-3.916,0.006188,-0.005576,,1
1000.0,7.88,0.01284,0.0016294416243654824,0.0,2.780477,0.004419594,3.916,-3.96,0.00684,-0.006004,,1
2000.0,8.110001,0.01269,0.0015647347022521945,36.0,2.860108,0.004441073,4.032,-4.08,0.006612,-0.00608,,1
5000.0,9.35,0.01135,0.0012139037433155082,79.2,3.300008,0.003904206,4.704,-4.648,0.005916,-0.00544,,1
8000.0,10.88,0.0093,0.0008547794117647057,121.9355,3.826635,0.003148685,5.376,-5.504,0.00504,-0.004256,,1
10000.0,11.7,0.00787,0.0006726495726495727,133.2,4.122961,0.002704219,5.848001,-5.848001,0.004356,-0.00352,,1
20000.0,14.36,0.00364,0.00025348189415041783,-165.6,5.045674,0.001194969,7.224,-7.14,0.0022,-0.00144,,1
30000.0,15.3,0.00224,0.0001464052287581699,-120.0,5.34412,0.0006487137,7.656,-7.656,0.00164,-0.0006,,1
40000.0,15.75,0.00156,9.904761904761905e-05,-162.5806,5.580309,0.0004941612,7.832,-7.92,0.0009999999,-0.00056,,1
50000.0,16.09,0.00096,5.9664387818520824e-05,-25.2,5.636039,0.0003879144,8.004,-8.096,0.00096,0.0,,1
60000.0,16.19,0.00072,4.447189623224212e-05,-4.285714,5.618812,0.0002838107,8.004,-8.188,0.00068,-4e-05,,1
70000.0,16.28,0.0008,4.914004914004914e-05,-101.4085,5.658596,0.0003166843,8.096,-8.188,0.0006,-0.0002,,1
80000.0,16.28,0.00088,5.4054054054054054e-05,116.129,5.739743,0.0003426398,8.096,-8.188,0.00068,-0.0002,,1
